Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2020-08-20 09:22:20 +0530,"Failure",0:00:02,1,0,0,"20200820_092220.521/LogFile.txt","","SRUN_InvalidValueExpr -- Unable to take value of expression 'RL.ResourceName1' (reason: (null))",0
2020-08-20 09:25:29 +0530,"Failure",0:00:01,1,0,0,"20200820_092529.317/LogFile.txt","","SRUN_InvalidValueExpr -- Unable to take value of expression 'RL.ResourceName1' (reason: (null))",0
2020-08-20 09:28:15 +0530,"Failure",0:00:02,1,0,0,"20200820_092815.345/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'resourcename'",0
2020-08-20 09:28:42 +0530,"Failure",0:00:01,1,0,0,"20200820_092842.520/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'resourcename'",0
2020-08-20 09:29:42 +0530,"Failure",0:00:01,1,0,0,"20200820_092942.316/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'resourcename'",0
2020-08-20 09:30:05 +0530,"Failure",0:00:03,1,0,0,"20200820_093005.816/LogFile.txt","","SRUN_InvalidValueExpr -- Unable to take value of expression 'RL.ResourceName' (reason: (null))",0
2020-08-20 09:31:10 +0530,"Success",0:00:04,0,0,0,"20200820_093110.356/LogFile.txt","","",1
2020-08-20 09:33:13 +0530,"Failure",0:00:02,1,0,0,"20200820_093313.929/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'resourcename'",0
2020-08-20 09:33:33 +0530,"Failure",0:00:01,1,0,0,"20200820_093333.418/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'resourcename'",0
2020-08-20 09:52:01 +0530,"Success",0:00:02,0,0,0,"20200820_095201.557/LogFile.txt","","",1
2020-08-20 09:53:54 +0530,"Failure",0:00:01,1,0,0,"20200820_095354.493/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'resourcename'",0
2020-08-20 09:56:06 +0530,"Failure",0:00:02,1,0,0,"20200820_095606.426/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'resname'",0
