Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2020-08-19 10:23:11 +0530,"Failure",0:00:01,1,0,0,"20200819_102311.320/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'RCA_Scalability_Data_Loader'.",0
2020-08-19 10:23:34 +0530,"Aborted",0:01:51,1,0,1,"20200819_102334.988/LogFile.txt","","",0
2020-08-19 10:40:04 +0530,"Aborted",0:00:05,1,0,1,"20200819_104004.356/LogFile.txt","","",0
2020-08-19 12:12:50 +0530,"Aborted",0:03:38,1,0,1,"20200819_121250.886/LogFile.txt","","",0
