Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2020-08-19 12:24:31 +0530,"Aborted",0:00:42,1,0,0,"20200819_122431.442/LogFile.txt","","",0
2020-08-19 12:26:12 +0530,"Aborted",0:00:50,1,0,0,"20200819_122612.551/LogFile.txt","","",0
2020-08-19 12:28:57 +0530,"Aborted",0:00:38,1,0,0,"20200819_122857.807/LogFile.txt","","",0
2020-08-19 12:29:39 +0530,"Aborted",0:00:06,1,0,0,"20200819_122939.599/LogFile.txt","","",0
2020-08-19 12:31:59 +0530,"Aborted",0:00:47,1,0,0,"20200819_123159.574/LogFile.txt","","",0
2020-08-19 12:41:38 +0530,"Aborted",0:00:08,1,0,0,"20200819_124138.424/LogFile.txt","","",0
